# retval|input|expected_output|expected_err|||args

#************************JOEL'S TESTS*********************************

#bad number of params
10|empty|w2.out|steps.err|||JacksonTests/map1.map 30 JacksonTests/w2.ag

#************************STUDENT'S TESTS*********************************

#Runs trollAgent, which takes 5 arguments with the last one being >100 chars
0|empty|troll.out|empty|||JacksonTests/map1.map 30 JacksonTests/troll.ag

#all agents integrated
0|empty|allAgents1.out|empty|||JacksonTests/map3.map 30 JacksonTests/allAgents1.ag
0|empty|random.out|empty|||JacksonTests/map3.map 1000 JacksonTests/random.ag

#Test if agents file still works if line contains terminating spaces
0|empty|random.out|empty|||JacksonTests/map3.map 1000 JacksonTests/spaces.ag

#MAX STEPS TESTS

#max steps 0
2|empty|empty|maxsteps.err|||JacksonTests/map3.map 0 JacksonTests/si1.ag

#max steps 1
10|empty|ms1.out|steps.err|||JacksonTests/map1.map 1 JacksonTests/si1.ag

#max steps a decimal (bad, check newsgroup if you dont agree)
2|empty|empty|maxsteps.err|||JacksonTests/map3.map 100.25 JacksonTests/si1.ag

#max steps insanely big (8,000,000,000)
2|empty|empty|maxsteps.err|||JacksonTests/map3.map 8000000000 JacksonTests/sli1.ag

#max steps slightly bigger than allowed (2,147,483,648, one above MAX_INT)
2|empty|empty|maxsteps.err|||JacksonTests/map3.map 2147483648 JacksonTests/si1.ag

#steps MAX_INT (2,147,483,647)
0|empty|si1.out|empty|||JacksonTests/map1.map 2147483647 JacksonTests/si1.ag

#0x0 map (should throw 4)
4|empty|empty|map.err|||JacksonTests/0x0.map 10 JacksonTests/si1.ag

#1x1 map (boundary case)
10|empty|1x1.out|steps.err|||JacksonTests/1x1.map 10 JacksonTests/1x1.ag

#CHILD DEATH TESTS (These may not be deterministic depending on your implementation, However these should NEVER return 7, so if they are something is wrong)

#Child killed while parent waits for reply
12|empty|empty|sleeper.err|||JacksonTests/map1.map 10 JacksonTests/sleeper.ag

#Child 2 exits while agent waits for child 1
12|empty|empty|exiter.err|||JacksonTests/map1.map 10 JacksonTests/exiter.ag

#Agent with id #
10|empty|hashagent.out|steps.err|||JacksonTests/map1.map 10 JacksonTests/hashagent.ag

#INDIVIDUAL AGENT TESTS

#Simple with invalid direction (Q then H)
2|siraw1.in|cparval.err|empty|||!./simple Q
2|siraw1.in|cparval.err|empty|||!./simple H

#Slow/slow2 dependencies fail, no + agent
3|slowfail.in|agentDep.out|empty|||!./slow
3|slowfail.in|agentDep.out|empty|||!./slow2

#Waller placed way outside of map (bad implementation will infiniloop)
4|walleroutsidebounds.in|walleroutsidebounds.out|empty|||!./waller E

#Waller turning left on every second turn (around a hash)
4|wallerloop.in|wallerloop.out|empty|||!./waller E

#Waller with invalid direction (Q then H)
2|wallerloop.in|cparval.err|empty|||!./waller Q
2|wallerloop.in|cparval.err|empty|||!./waller H

#COMBINED TESTS

#Lots of wallers
10|empty|lotsowallers.out|steps.err|||JacksonTests/map3.map 1000 JacksonTests/lotsowallers.ag

#AGENT BAD HANDLER INPUT TESTS
#Too few agent ids
4|agenttoofewids.in|handlercomm.out|empty|||!./simple E
4|agenttoofewids.in|handlercomm.out|empty|||!./fromfile JacksonTests/ff1.ain
4|agenttoofewids.in|handlercomm.out|empty|||!./slow
4|agenttoofewids.in|handlercomm.out|empty|||!./slow2
4|agenttoofewids.in|handlercomm.out|empty|||!./waller E

#Too many agent ids
4|agenttoomanyids.in|handlercomm.out|empty|||!./simple E
4|agenttoomanyids.in|handlercomm.out|empty|||!./fromfile JacksonTests/ff1.ain
4|agenttoomanyids.in|handlercomm.out|empty|||!./slow
4|agenttoomanyids.in|handlercomm.out|empty|||!./slow2

#Agent count is not an integer (float 3.0)
4|agentcountnan.in|handlercomm.out|empty|||!./simple E
4|agentcountnan.in|handlercomm.out|empty|||!./fromfile JacksonTests/ff1.ain
4|agentcountnan.in|handlercomm.out|empty|||!./slow
4|agentcountnan.in|handlercomm.out|empty|||!./slow2
4|agentcountnan.in|handlercomm.out|empty|||!./waller E

#26 agents, 1 time through
4|agentlotsofagents.in|lotsofagents.out|empty|||!./simple E

#Invalid agent char
4|agentmapinvalidchar.in|handlercomm.out|empty|||!./simple E

#Really long filename tests

10|empty|longname.out|steps.err|||JacksonTests/map1.map 10 JacksonTests/reallylongagentfilenamereallylongagentfilenamereallylongagentfilenamereallylongagentfilename.ag

10|empty|longffname.out|steps.err|||JacksonTests/map1.map 10 JacksonTests/fromfilelongname.ag

#Test for a rectangle map (somehow every other map has been square)
4|rectangle.in|rectangle.out|empty|||!./simple E

#Test fromfile with an empty map, spec specifically says an empty map is error 3
3|rectangle.in|agentDep.out|empty|||!./fromfile JacksonTests/empty
